Feature,Mean_Overestimate,Mean_Underestimate,Difference,abs_diff
TIME_COS,0.1692193811460169,-0.7552819027159307,0.9245012838619475,0.9245012838619475
IRRADIATION,0.14012009589361105,0.5303181811556097,-0.3901980852619986,0.3901980852619986
MODULE_TEMPERATURE,0.21476596236383627,0.5140193845793859,-0.2992534222155496,0.2992534222155496
AMBIENT_TEMPERATURE,0.3519322615336723,0.5631067719190086,-0.2111745103853363,0.2111745103853363
TIME_SIN,0.025937541073315314,-0.11540589244161632,0.14134343351493164,0.14134343351493164
