epoch,loss,val_loss,learning_rate
1,1.541280746459961,1.395764708518982,9.999999747378752e-05
2,1.4429090023040771,1.3889639377593994,9.999999747378752e-05
3,1.3758001327514648,1.3818585872650146,9.999999747378752e-05
4,1.335018277168274,1.3746914863586426,9.999999747378752e-05
5,1.310852289199829,1.3674262762069702,9.999999747378752e-05
6,1.2933058738708496,1.3599296808242798,9.999999747378752e-05
7,1.2816166877746582,1.3523393869400024,9.999999747378752e-05
8,1.2688268423080444,1.3444149494171143,9.999999747378752e-05
9,1.2573795318603516,1.3363115787506104,9.999999747378752e-05
10,1.2467999458312988,1.328303575515747,9.999999747378752e-05
11,1.2379828691482544,1.320197343826294,9.999999747378752e-05
12,1.2288254499435425,1.3119051456451416,9.999999747378752e-05
13,1.2200279235839844,1.303592324256897,9.999999747378752e-05
14,1.2109521627426147,1.2952477931976318,9.999999747378752e-05
15,1.2030781507492065,1.2867553234100342,9.999999747378752e-05
16,1.194424033164978,1.2780462503433228,9.999999747378752e-05
17,1.1849775314331055,1.269225001335144,9.999999747378752e-05
18,1.1767446994781494,1.2607710361480713,9.999999747378752e-05
19,1.1685316562652588,1.2522674798965454,9.999999747378752e-05
20,1.163002610206604,1.2439463138580322,9.999999747378752e-05
21,1.152448296546936,1.2351809740066528,9.999999747378752e-05
22,1.1450469493865967,1.2264655828475952,9.999999747378752e-05
23,1.1393970251083374,1.2178587913513184,9.999999747378752e-05
24,1.1300886869430542,1.208970308303833,9.999999747378752e-05
25,1.122293472290039,1.200536847114563,9.999999747378752e-05
26,1.1139599084854126,1.1923147439956665,9.999999747378752e-05
27,1.1076669692993164,1.1839396953582764,9.999999747378752e-05
28,1.1001120805740356,1.1760132312774658,9.999999747378752e-05
29,1.091244101524353,1.1674058437347412,9.999999747378752e-05
30,1.0844630002975464,1.1589233875274658,9.999999747378752e-05
31,1.0761244297027588,1.1505078077316284,9.999999747378752e-05
32,1.0695735216140747,1.141893982887268,9.999999747378752e-05
33,1.063356876373291,1.1339877843856812,9.999999747378752e-05
34,1.0566325187683105,1.1256344318389893,9.999999747378752e-05
35,1.0487254858016968,1.117708683013916,9.999999747378752e-05
36,1.0419200658798218,1.1096283197402954,9.999999747378752e-05
37,1.0353060960769653,1.1018085479736328,9.999999747378752e-05
38,1.0262224674224854,1.0935916900634766,9.999999747378752e-05
39,1.0199097394943237,1.0859414339065552,9.999999747378752e-05
40,1.011854887008667,1.0777937173843384,9.999999747378752e-05
41,1.0079439878463745,1.069035291671753,9.999999747378752e-05
42,0.9981586337089539,1.0609997510910034,9.999999747378752e-05
43,0.9925335049629211,1.0537253618240356,9.999999747378752e-05
44,0.985457181930542,1.0462772846221924,9.999999747378752e-05
45,0.9776715040206909,1.0388472080230713,9.999999747378752e-05
46,0.9721776843070984,1.0314940214157104,9.999999747378752e-05
47,0.9669269323348999,1.0246556997299194,9.999999747378752e-05
48,0.9587092995643616,1.0170632600784302,9.999999747378752e-05
49,0.9523866772651672,1.009935975074768,9.999999747378752e-05
50,0.9453490972518921,1.0026891231536865,9.999999747378752e-05
51,0.9390988945960999,0.9950728416442871,9.999999747378752e-05
52,0.9325949549674988,0.9879863858222961,9.999999747378752e-05
53,0.9256550073623657,0.9803710579872131,9.999999747378752e-05
54,0.9193660020828247,0.9734470844268799,9.999999747378752e-05
55,0.9161544442176819,0.967230498790741,9.999999747378752e-05
56,0.9072577357292175,0.9597143530845642,9.999999747378752e-05
57,0.9022193551063538,0.9519525170326233,9.999999747378752e-05
58,0.895348072052002,0.9449304342269897,9.999999747378752e-05
59,0.8899790048599243,0.9373186826705933,9.999999747378752e-05
60,0.8826352953910828,0.9311184287071228,9.999999747378752e-05
61,0.8777838349342346,0.9245455265045166,9.999999747378752e-05
62,0.8722552061080933,0.9188241362571716,9.999999747378752e-05
63,0.8655022382736206,0.9121283292770386,9.999999747378752e-05
64,0.860987663269043,0.9064544439315796,9.999999747378752e-05
65,0.8534331321716309,0.9001619815826416,9.999999747378752e-05
66,0.8494411110877991,0.8938058614730835,9.999999747378752e-05
67,0.8424073457717896,0.887812077999115,9.999999747378752e-05
68,0.8357442021369934,0.8820021152496338,9.999999747378752e-05
69,0.8300411701202393,0.8755464553833008,9.999999747378752e-05
70,0.8258050680160522,0.8706936240196228,9.999999747378752e-05
71,0.8201662302017212,0.8653019666671753,9.999999747378752e-05
72,0.8149307370185852,0.8593674302101135,9.999999747378752e-05
73,0.80870521068573,0.8533560037612915,9.999999747378752e-05
74,0.8023723363876343,0.8479024171829224,9.999999747378752e-05
75,0.7973018884658813,0.8421568274497986,9.999999747378752e-05
76,0.7917156219482422,0.837117075920105,9.999999747378752e-05
77,0.7863053679466248,0.8330613374710083,9.999999747378752e-05
78,0.7822348475456238,0.8285974860191345,9.999999747378752e-05
79,0.7757765054702759,0.8237501382827759,9.999999747378752e-05
80,0.7712997794151306,0.8188912868499756,9.999999747378752e-05
81,0.7662532329559326,0.8131202459335327,9.999999747378752e-05
82,0.7620099186897278,0.8080986738204956,9.999999747378752e-05
83,0.7554981708526611,0.8037748336791992,9.999999747378752e-05
84,0.7497245669364929,0.7996053099632263,9.999999747378752e-05
85,0.7476277351379395,0.7965179681777954,9.999999747378752e-05
86,0.7391161918640137,0.7925685048103333,9.999999747378752e-05
87,0.7359117865562439,0.7877713441848755,9.999999747378752e-05
88,0.7317476868629456,0.7817174196243286,9.999999747378752e-05
89,0.7248890995979309,0.7760248780250549,9.999999747378752e-05
90,0.7220592498779297,0.772128164768219,9.999999747378752e-05
91,0.7168306112289429,0.7656940817832947,9.999999747378752e-05
92,0.7105771899223328,0.761107861995697,9.999999747378752e-05
93,0.7064298391342163,0.756837010383606,9.999999747378752e-05
94,0.7025980949401855,0.7535257935523987,9.999999747378752e-05
95,0.6979424357414246,0.7492466568946838,9.999999747378752e-05
96,0.6944588422775269,0.7454085350036621,9.999999747378752e-05
97,0.6897261142730713,0.7410976886749268,9.999999747378752e-05
98,0.6838803291320801,0.7362033128738403,9.999999747378752e-05
99,0.6788408160209656,0.7312316298484802,9.999999747378752e-05
100,0.675254225730896,0.7271007895469666,9.999999747378752e-05
101,0.6712013483047485,0.7230100631713867,9.999999747378752e-05
102,0.6657804250717163,0.718546450138092,9.999999747378752e-05
103,0.6612608432769775,0.7145435214042664,9.999999747378752e-05
104,0.6579938530921936,0.7098115682601929,9.999999747378752e-05
105,0.6525892615318298,0.7059441804885864,9.999999747378752e-05
106,0.6475828289985657,0.7018530964851379,9.999999747378752e-05
107,0.6436716318130493,0.6982242465019226,9.999999747378752e-05
108,0.641238808631897,0.6948894262313843,9.999999747378752e-05
109,0.6357410550117493,0.6905192136764526,9.999999747378752e-05
110,0.6309041380882263,0.6855398416519165,9.999999747378752e-05
111,0.6272197961807251,0.6812185645103455,9.999999747378752e-05
112,0.6229886412620544,0.678308367729187,9.999999747378752e-05
113,0.6210584044456482,0.6760576963424683,9.999999747378752e-05
114,0.6167098879814148,0.6733152866363525,9.999999747378752e-05
115,0.6120562553405762,0.6703354120254517,9.999999747378752e-05
116,0.6069737672805786,0.6669926047325134,9.999999747378752e-05
117,0.6048920750617981,0.6641445755958557,9.999999747378752e-05
118,0.6003317832946777,0.6600765585899353,9.999999747378752e-05
119,0.5955145955085754,0.6565002202987671,9.999999747378752e-05
120,0.5920675992965698,0.6532942056655884,9.999999747378752e-05
121,0.5881105065345764,0.6493977904319763,9.999999747378752e-05
122,0.5866720080375671,0.6453953385353088,9.999999747378752e-05
123,0.5803321003913879,0.6408630013465881,9.999999747378752e-05
124,0.5767847299575806,0.637069046497345,9.999999747378752e-05
125,0.5729228258132935,0.6336897015571594,9.999999747378752e-05
126,0.5683298707008362,0.6305601596832275,9.999999747378752e-05
127,0.5657443404197693,0.6265257596969604,9.999999747378752e-05
128,0.5637490153312683,0.6228376030921936,9.999999747378752e-05
129,0.5588034391403198,0.6196630597114563,9.999999747378752e-05
130,0.5555331110954285,0.6172207593917847,9.999999747378752e-05
131,0.5519587397575378,0.6143829822540283,9.999999747378752e-05
132,0.547608494758606,0.6112345457077026,9.999999747378752e-05
