epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,1.203025221824646,0.001,0.23618513345718384,0.09098944067955017,1.0571125745773315,0.3140205442905426,0.12336993217468262
1,0.8653050661087036,0.001,0.18996846675872803,0.0644482895731926,0.766115128993988,0.2890598177909851,0.10457420349121094
2,0.625809371471405,0.001,0.17990341782569885,0.05770660564303398,0.5593710541725159,0.26645874977111816,0.08785562962293625
3,0.462224543094635,0.001,0.1783391237258911,0.053983334451913834,0.41655266284942627,0.2472379505634308,0.0734088271856308
4,0.34468284249305725,0.001,0.18126913905143738,0.044490087777376175,0.317407488822937,0.2286825329065323,0.06101152300834656
5,0.25579020380973816,0.001,0.14896973967552185,0.027747703716158867,0.24921758472919464,0.2099469006061554,0.05040222778916359
6,0.19993624091148376,0.001,0.1240711361169815,0.020245442166924477,0.2047697901725769,0.19724133610725403,0.04476195201277733
7,0.1642378717660904,0.001,0.11199872195720673,0.017315777018666267,0.17509469389915466,0.1893695890903473,0.04180051386356354
8,0.1385113149881363,0.001,0.10056884586811066,0.014622005634009838,0.15540361404418945,0.18779568374156952,0.041502926498651505
9,0.12250502407550812,0.001,0.10161986202001572,0.015616340562701225,0.13887812197208405,0.18253204226493835,0.039544396102428436
10,0.10669118165969849,0.001,0.09330425411462784,0.013000717386603355,0.12762559950351715,0.1836158186197281,0.04011288285255432
11,0.09460639208555222,0.001,0.0885869711637497,0.0117329778149724,0.11680253595113754,0.18114331364631653,0.039060432463884354
12,0.08519046753644943,0.001,0.08544275164604187,0.011412234976887703,0.10896904021501541,0.1823434978723526,0.039589013904333115
13,0.07946990430355072,0.001,0.09108799695968628,0.013410626910626888,0.10130690783262253,0.1804940104484558,0.03883741423487663
14,0.07197239995002747,0.001,0.0870790183544159,0.012205945327877998,0.09399028867483139,0.17697858810424805,0.03736281394958496
15,0.06620616465806961,0.001,0.08638416230678558,0.01212138682603836,0.08808532357215881,0.17595209181308746,0.03686903789639473
16,0.06051338091492653,0.001,0.08408740907907486,0.011576654389500618,0.0829712450504303,0.17551860213279724,0.036623019725084305
17,0.055204082280397415,0.001,0.08084524422883987,0.010876858606934547,0.07928170263767242,0.17744067311286926,0.037254367023706436
18,0.05106239765882492,0.001,0.08112920820713043,0.010835310444235802,0.07427997887134552,0.174631267786026,0.03606770560145378
19,0.04798216372728348,0.001,0.08141709864139557,0.01138625480234623,0.07101871073246002,0.1754073053598404,0.03622107207775116
20,0.044934917241334915,0.001,0.08288906514644623,0.011544774286448956,0.0667436346411705,0.1718268245458603,0.03490780293941498
21,0.042095500975847244,0.001,0.08155852556228638,0.011518915183842182,0.06461764127016068,0.17382672429084778,0.03550444915890694
22,0.03876569867134094,0.001,0.07933971285820007,0.010783527046442032,0.05858004093170166,0.1640734076499939,0.031911689788103104
23,0.03653871640563011,0.001,0.07951340824365616,0.010947179049253464,0.05519217252731323,0.16109994053840637,0.030723826959729195
24,0.03425617143511772,0.001,0.07906991988420486,0.01072098407894373,0.052483152598142624,0.1593879759311676,0.030056171119213104
