epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,1.2048941850662231,0.001,0.23547464609146118,0.09257542341947556,1.0580637454986572,0.3146757185459137,0.12384465336799622
1,0.8648024201393127,0.001,0.18591055274009705,0.06361141800880432,0.7665680050849915,0.2899731397628784,0.10525882989168167
2,0.6251882910728455,0.001,0.1851748377084732,0.05787893012166023,0.5579690337181091,0.26549676060676575,0.08736077696084976
3,0.460364431142807,0.001,0.17941485345363617,0.05344126373529434,0.41451528668403625,0.24614615738391876,0.0728195533156395
4,0.3425814211368561,0.001,0.17926371097564697,0.04374954104423523,0.3151046335697174,0.22703537344932556,0.06006765365600586
5,0.25536641478538513,0.001,0.14950138330459595,0.028548557311296463,0.2471947968006134,0.2077597677707672,0.049340710043907166
6,0.19887419044971466,0.001,0.12347996979951859,0.020148128271102905,0.2029801905155182,0.19508931040763855,0.04380830004811287
7,0.16270455718040466,0.001,0.11010779440402985,0.01660023257136345,0.1739168018102646,0.18838326632976532,0.04145079106092453
8,0.1371418535709381,0.001,0.10038626939058304,0.014149708673357964,0.153563991189003,0.18563713133335114,0.04065932333469391
9,0.11954721063375473,0.001,0.09719095379114151,0.0137678487226367,0.137777179479599,0.18266242742538452,0.03960680961608887
10,0.10497187823057175,0.001,0.09065961092710495,0.012418112717568874,0.12649349868297577,0.18351827561855316,0.0400911383330822
11,0.09369268268346786,0.001,0.08891573548316956,0.011922629550099373,0.11589212715625763,0.18116261065006256,0.03923150524497032
12,0.08572664856910706,0.001,0.08922063559293747,0.0129665182903409,0.10738034546375275,0.18030564486980438,0.0387890599668026
13,0.07853193581104279,0.001,0.09093230962753296,0.013122040778398514,0.10084135830402374,0.1806044727563858,0.03899100422859192
14,0.07056624442338943,0.001,0.08429970592260361,0.011585507541894913,0.09369879961013794,0.1781911998987198,0.03794127330183983
15,0.06515166163444519,0.001,0.08585769683122635,0.011921894736588001,0.08809634298086166,0.17746229469776154,0.037722911685705185
16,0.059458594769239426,0.001,0.08307026326656342,0.01132529228925705,0.08215726166963577,0.17493507266044617,0.0364566445350647
17,0.054849982261657715,0.001,0.0820760428905487,0.011144557036459446,0.07921984046697617,0.17836129665374756,0.03773059695959091
18,0.05064735934138298,0.001,0.08125215023756027,0.010956273414194584,0.0751037672162056,0.17792163789272308,0.037406135350465775
19,0.04727591201663017,0.001,0.08186350017786026,0.011186421848833561,0.07091860473155975,0.17608369886875153,0.0366063192486763
20,0.04433252289891243,0.001,0.08202620595693588,0.011461245827376842,0.07030181586742401,0.18265767395496368,0.03908836469054222
21,0.042864929884672165,0.001,0.08656341582536697,0.012798504903912544,0.061735108494758606,0.16641058027744293,0.03285970166325569
22,0.03911871835589409,0.001,0.08179765939712524,0.011446259915828705,0.05899224057793617,0.16576425731182098,0.03262057155370712
23,0.03629539534449577,0.001,0.08045919239521027,0.01101550180464983,0.05686427280306816,0.1670817881822586,0.032794881612062454
24,0.03452540189027786,0.001,0.08173965662717819,0.01130370981991291,0.05258120968937874,0.1604527086019516,0.030444685369729996
25,0.03205250948667526,0.001,0.07881113141775131,0.010739578865468502,0.046101298183202744,0.14582504332065582,0.025666138157248497
26,0.030520236119627953,0.001,0.07825743407011032,0.010827380232512951,0.044794321060180664,0.14734677970409393,0.02601095661520958
27,0.028962580487132072,0.001,0.07885801792144775,0.010791371576488018,0.038412731140851974,0.1300789713859558,0.020975075662136078
28,0.02797970362007618,0.001,0.07931127399206161,0.011108494363725185,0.03591296449303627,0.1258082538843155,0.01974211260676384
29,0.02633168362081051,0.001,0.07773370295763016,0.01062598917633295,0.03274742141366005,0.11790728569030762,0.01761147566139698
30,0.025578411296010017,0.001,0.07746314257383347,0.01088745892047882,0.02905372902750969,0.1064053475856781,0.014822537079453468
31,0.024167248979210854,0.001,0.07634371519088745,0.010442874394357204,0.029210014268755913,0.11207479983568192,0.01594291441142559
32,0.023466702550649643,0.001,0.07638654112815857,0.010492733679711819,0.026222357526421547,0.10053984820842743,0.01368675846606493
33,0.022619254887104034,0.001,0.07615736126899719,0.01046369131654501,0.02750103361904621,0.10204824805259705,0.015563133172690868
34,0.021859323605895042,0.001,0.07466855645179749,0.010252971202135086,0.02619575895369053,0.10680972039699554,0.015130791813135147
35,0.02151097171008587,0.001,0.07656222581863403,0.010663570836186409,0.02855587936937809,0.11145692318677902,0.01786923035979271
36,0.02076530084013939,0.001,0.07467044144868851,0.010398210026323795,0.02778363600373268,0.11182544380426407,0.01772409677505493
37,0.020252950489521027,0.0005,0.07404778152704239,0.010277909226715565,0.028180671855807304,0.11265220493078232,0.01832647994160652
38,0.019951986148953438,0.0005,0.07471630722284317,0.01023817341774702,0.0290788896381855,0.11353908479213715,0.019433118402957916
39,0.019502410665154457,0.0005,0.0726613849401474,0.009958358481526375,0.02878502756357193,0.11329665780067444,0.019378729164600372
40,0.019633479416370392,0.0005,0.07448218762874603,0.010345657356083393,0.029034893959760666,0.11115444451570511,0.019808990880846977
41,0.019314581528306007,0.00025,0.07312632352113724,0.010125008411705494,0.024484064429998398,0.09746464341878891,0.015377546660602093
42,0.019220078364014626,0.00025,0.07304690778255463,0.010173080489039421,0.024658778682351112,0.09814337641000748,0.015672355890274048
43,0.01911250129342079,0.00025,0.07396840304136276,0.010190359316766262,0.027020134031772614,0.10368774831295013,0.01810736581683159
44,0.01892171986401081,0.00025,0.07270798832178116,0.010053263045847416,0.023402119055390358,0.0925537645816803,0.014603203162550926
45,0.018860260024666786,0.00025,0.07287458330392838,0.010098141618072987,0.023868681862950325,0.09484751522541046,0.015180207788944244
46,0.0187359731644392,0.00025,0.0736500546336174,0.010112736374139786,0.025169041007757187,0.09768611937761307,0.01655651070177555
47,0.01833593286573887,0.00025,0.07193577289581299,0.009772533550858498,0.022221475839614868,0.08883435279130936,0.013714734464883804
48,0.018482474610209465,0.00025,0.07263602316379547,0.010001854971051216,0.022362638264894485,0.09089456498622894,0.013973901979625225
49,0.018378091976046562,0.00025,0.072473905980587,0.01003822311758995,0.023867256939411163,0.09566181153059006,0.015563924796879292
50,0.01816214621067047,0.00025,0.07198286801576614,0.009896638803184032,0.025386907160282135,0.10016034543514252,0.017158526927232742
51,0.01818128488957882,0.00025,0.07269850373268127,0.010023174807429314,0.025004534050822258,0.09878672659397125,0.016864795237779617
52,0.01807902567088604,0.000125,0.07207193225622177,0.009961912408471107,0.021656369790434837,0.08714619278907776,0.013566968962550163
53,0.018060775473713875,0.000125,0.07168447226285934,0.00997794046998024,0.02058548666536808,0.08288203179836273,0.012540222145617008
54,0.018223846331238747,0.000125,0.07301018387079239,0.010193437337875366,0.020645039156079292,0.08277638256549835,0.012640614062547684
55,0.017985187470912933,0.000125,0.0727984681725502,0.010023626498878002,0.02126029133796692,0.08501601219177246,0.013307714834809303
56,0.018041158095002174,0.000125,0.07249976694583893,0.010101160034537315,0.019863659515976906,0.0800144299864769,0.011946175247430801
57,0.01777709275484085,0.000125,0.0714537501335144,0.009879227727651596,0.01955552026629448,0.07894186675548553,0.01169133186340332
58,0.017865147441625595,0.000125,0.07240547984838486,0.010017922148108482,0.018956797197461128,0.07674342393875122,0.011140206828713417
59,0.017590591683983803,0.000125,0.07144500315189362,0.00978676788508892,0.020970497280359268,0.08317752927541733,0.01316884346306324
60,0.01793089136481285,0.000125,0.072343610227108,0.01016959547996521,0.018830738961696625,0.07609573006629944,0.011102990247309208
61,0.01752965897321701,0.000125,0.07098709046840668,0.00979727040976286,0.019669216126203537,0.07827597856521606,0.011949874460697174
62,0.017449522390961647,0.000125,0.07151351124048233,0.009765232913196087,0.020253490656614304,0.08074598014354706,0.012584560550749302
63,0.017274873331189156,0.000125,0.07084736973047256,0.009644980542361736,0.01886104606091976,0.07624713331460953,0.01125425100326538
64,0.017330395057797432,0.000125,0.07110829651355743,0.009736715815961361,0.02024841122329235,0.08068662881851196,0.012653529644012451
65,0.01740363799035549,6.25e-05,0.0709151178598404,0.009817338548600674,0.018703239038586617,0.07481620460748672,0.011137943714857101
66,0.01729724183678627,6.25e-05,0.07078821957111359,0.00974350143224001,0.018683208152651787,0.0750022679567337,0.011145360767841339
67,0.01726781763136387,6.25e-05,0.07020793855190277,0.009737655520439148,0.01827881671488285,0.07343004643917084,0.010764410719275475
68,0.017300814390182495,6.25e-05,0.07087160646915436,0.009787417016923428,0.018471963703632355,0.07369427382946014,0.010966644622385502
69,0.017579739913344383,6.25e-05,0.07233548909425735,0.010087944567203522,0.018495731055736542,0.07414416968822479,0.011016611009836197
70,0.017491718754172325,6.25e-05,0.07151142507791519,0.010018338449299335,0.01831142231822014,0.07286714762449265,0.01084560714662075
71,0.017178427428007126,6.25e-05,0.07066575437784195,0.009711174294352531,0.018408015370368958,0.07316868752241135,0.010952120646834373
72,0.017155352979898453,3.125e-05,0.07084812223911285,0.009708050638437271,0.018273837864398956,0.07294393330812454,0.010838674381375313
73,0.017430197447538376,3.125e-05,0.07208985835313797,0.010007290169596672,0.01782672107219696,0.07160185277462006,0.010408374480903149
74,0.017277555540204048,3.125e-05,0.07115616649389267,0.009859436191618443,0.01816062070429325,0.07248047739267349,0.010746066458523273
75,0.017344189807772636,3.125e-05,0.07147197425365448,0.009945307858288288,0.017810773104429245,0.07159127295017242,0.010418332181870937
76,0.017350871115922928,3.125e-05,0.07170676440000534,0.009958875365555286,0.01807345636188984,0.07213100790977478,0.010686012916266918
77,0.017159506678581238,3.125e-05,0.07107209414243698,0.00978272408246994,0.01758953556418419,0.0708213597536087,0.010220076888799667
78,0.017058175057172775,3.125e-05,0.07052911818027496,0.009690611623227596,0.017910992726683617,0.07160821557044983,0.010545448400080204
79,0.01709301397204399,3.125e-05,0.07059866935014725,0.009736171923577785,0.01764632947742939,0.07098694890737534,0.010298194363713264
80,0.017181575298309326,3.125e-05,0.0706758201122284,0.009838704019784927,0.01761206053197384,0.07087207585573196,0.010275851003825665
81,0.016934137791395187,3.125e-05,0.0698358491063118,0.009599650278687477,0.017663219943642616,0.07087920606136322,0.010333552025258541
