epoch,loss,mse,rmse,mae,mape,msle,val_loss,val_mse,val_rmse,val_mae,val_mape,val_msle,lr
1,2.363600254058838,1.1052000522613525,1.014150619506836,0.8929725885391235,306132864.0,0.2129715383052826,1.476957082748413,0.21928271651268005,0.46827632188796997,0.3324553668498993,14041342.0,0.11630544066429138,9.999999747378752e-05
2,1.7041008472442627,0.4467860758304596,0.6851581335067749,0.546432614326477,191751392.0,0.12082266062498093,1.4638359546661377,0.20741327106952667,0.45542648434638977,0.322595477104187,13702302.0,0.10802064090967178,9.999999747378752e-05
3,1.4949454069137573,0.23896323144435883,0.5324630737304688,0.3804120421409607,199609296.0,0.04204524680972099,1.4536486864089966,0.19874690473079681,0.44581037759780884,0.3154456913471222,13647994.0,0.1021290272474289,9.999999747378752e-05
4,1.4725325107574463,0.2181468904018402,0.5128191709518433,0.36285704374313354,212106176.0,0.02638954669237137,1.4469472169876099,0.19380229711532593,0.4402298331260681,0.3118741810321808,14257876.0,0.09883690625429153,9.999999747378752e-05
5,1.4449113607406616,0.19234392046928406,0.4878395199775696,0.36063912510871887,202741712.0,0.026942824944853783,1.4426453113555908,0.19145157933235168,0.4375517964363098,0.3109060227870941,15456625.0,0.09729788452386856,9.999999747378752e-05
6,1.3961951732635498,0.14563173055648804,0.4394857883453369,0.32242071628570557,161336320.0,0.025976108387112617,1.43912672996521,0.19005489349365234,0.4359528422355652,0.31085291504859924,16899300.0,0.0963907539844513,9.999999747378752e-05
7,1.3611390590667725,0.11274420469999313,0.40031537413597107,0.27886950969696045,117201976.0,0.025803042575716972,1.4351470470428467,0.18834619224071503,0.43398869037628174,0.31041428446769714,18197532.0,0.09527405351400375,9.999999747378752e-05
8,1.3434818983078003,0.09739759564399719,0.37994828820228577,0.25136545300483704,92237120.0,0.02619110234081745,1.4302878379821777,0.18588270246982574,0.4311411678791046,0.3089948296546936,19112722.0,0.09366369992494583,9.999999747378752e-05
9,1.3302152156829834,0.08656112849712372,0.36442190408706665,0.23673692345619202,87183072.0,0.0250884797424078,1.4248896837234497,0.18298961222171783,0.4277728497982025,0.30691275000572205,19660324.0,0.09178397059440613,9.999999747378752e-05
10,1.317237138748169,0.07611966133117676,0.34817224740982056,0.22340911626815796,89721800.0,0.022280478850007057,1.4195400476455688,0.18024609982967377,0.4245539903640747,0.3048038184642792,20043522.0,0.09001889079809189,9.999999747378752e-05
