epoch,loss,mse,rmse,mae,mape,msle,val_loss,val_mse,val_rmse,val_mae,val_mape,val_msle,lr
1,0.09915933758020401,0.008591310121119022,0.09673317521810532,0.06414631754159927,17550142.0,0.0038635435048490763,0.11509391665458679,0.02452976629137993,0.1566198170185089,0.10779955983161926,22066146.0,0.009767279028892517,9.999999747378752e-06
2,0.09858216345310211,0.008019015192985535,0.08692903071641922,0.05978738144040108,14753984.0,0.003490199102088809,0.10992950201034546,0.019368711858987808,0.1391715258359909,0.0985465720295906,22604540.0,0.007893187925219536,9.999999747378752e-06
3,0.09923318773508072,0.008673491887748241,0.08582951128482819,0.061820462346076965,15038137.0,0.00361543707549572,0.10821893811225891,0.017661763355135918,0.13289757072925568,0.09675486385822296,25068260.0,0.00738918362185359,9.999999747378752e-06
4,0.09959352016448975,0.009037540294229984,0.0866594985127449,0.062162213027477264,14341652.0,0.0037459139712154865,0.10851800441741943,0.017964791506528854,0.13403280079364777,0.09690265357494354,25216706.0,0.007644616533070803,9.999999747378752e-06
5,0.09935624152421951,0.008804329670965672,0.08656787872314453,0.06105310097336769,13755145.0,0.0037161740474402905,0.10921238362789154,0.018663424998521805,0.1366141438484192,0.09922763705253601,26402192.0,0.00799496192485094,9.999999747378752e-06
6,0.09901661425828934,0.0084689911454916,0.0861118882894516,0.061103515326976776,14839125.0,0.003659771289676428,0.10917475819587708,0.01863018050789833,0.13649241626262665,0.09929322451353073,26555664.0,0.007993531413376331,9.999999747378752e-06
7,0.09879866987466812,0.008255447261035442,0.08529414981603622,0.06115658953785896,15502155.0,0.0036015911027789116,0.10843301564455032,0.017892926931381226,0.13376444578170776,0.09710069745779037,25673768.0,0.007681042887270451,9.999999747378752e-06
8,0.09872519969940186,0.00818653590977192,0.08442115783691406,0.06117185577750206,15500564.0,0.003543914295732975,0.10778509080410004,0.017249692231416702,0.13133808970451355,0.09513654559850693,25034412.0,0.007425914518535137,9.999999747378752e-06
9,0.09872167557477951,0.008187747560441494,0.0837998315691948,0.06095987185835838,15152963.0,0.003502598265185952,0.1076885387301445,0.017157981172204018,0.1309884786605835,0.09498093277215958,25317206.0,0.007423727307468653,9.999999747378752e-06
10,0.09870027005672455,0.008171215653419495,0.08338171243667603,0.060526199638843536,14766127.0,0.0034718962851911783,0.10797306150197983,0.017447451129555702,0.1320887953042984,0.09606615453958511,26112132.0,0.007587904576212168,9.999999747378752e-06
11,0.09865134954452515,0.008127279579639435,0.0830790176987648,0.06016051024198532,14540867.0,0.0034472376573830843,0.10820390284061432,0.017683375626802444,0.13297885656356812,0.09686829149723053,26631002.0,0.007720926310867071,9.999999747378752e-06
12,0.0985870435833931,0.008068082854151726,0.08277659118175507,0.05996230989694595,14452440.0,0.0034209894947707653,0.10815124213695526,0.017635898664593697,0.13280022144317627,0.09667583554983139,26590364.0,0.007722590584307909,9.999999747378752e-06
13,0.09851833432912827,0.008004586212337017,0.08243613690137863,0.05979613959789276,14368625.0,0.003390940371900797,0.10794392973184586,0.01743384636938572,0.13203729689121246,0.09596679359674454,26291400.0,0.007656979374587536,9.999999747378752e-06
14,0.09845701605081558,0.007948564365506172,0.08210807293653488,0.059650570154190063,14261589.0,0.0033647618256509304,0.10780629515647888,0.01730155572295189,0.1315353810787201,0.09554266184568405,26158654.0,0.007629186846315861,9.999999747378752e-06
15,0.09840137511491776,0.007898285984992981,0.08178988844156265,0.05945290997624397,14116622.0,0.0033454152289777994,0.10780292749404907,0.017303600907325745,0.13154315948486328,0.09559101611375809,26312042.0,0.007668232545256615,9.999999747378752e-06
16,0.09834901988506317,0.00785135943442583,0.08145870268344879,0.059208206832408905,13949597.0,0.0033310691360384226,0.10784401744604111,0.01735015958547592,0.13172000646591187,0.09579231590032578,26568890.0,0.00773049658164382,9.999999747378752e-06
17,0.09830302000045776,0.007810840383172035,0.0811290442943573,0.05896248668432236,13783455.0,0.0033188217785209417,0.10783466696739197,0.017346318811178207,0.1317054182291031,0.09580744802951813,26725220.0,0.007768895942717791,9.999999747378752e-06
18,0.09826228767633438,0.007775643840432167,0.08082698285579681,0.05873087793588638,13611965.0,0.003306269645690918,0.10777243971824646,0.017289666458964348,0.13149017095565796,0.09563297778367996,26748136.0,0.007779479026794434,9.999999747378752e-06
19,0.09822182357311249,0.0077407630160450935,0.0805637389421463,0.05852340906858444,13449031.0,0.003292774548754096,0.10771343111991882,0.01723628118634224,0.13128702342510223,0.09546161442995071,26730926.0,0.00778735289350152,9.999999747378752e-06
20,0.09817816317081451,0.00770274642854929,0.08032514154911041,0.05832536518573761,13297253.0,0.00327894976362586,0.10768997669219971,0.01721849851310253,0.131219282746315,0.09539122134447098,26749270.0,0.007808741647750139,9.999999747378752e-06
21,0.09813234210014343,0.007662605028599501,0.08008701354265213,0.05812280252575874,13153503.0,0.0032651498913764954,0.10768571496009827,0.017219945788383484,0.13122479617595673,0.09538935124874115,26798866.0,0.007838069461286068,9.999999747378752e-06
22,0.09808818250894547,0.007624156307429075,0.07983990758657455,0.05791826918721199,13013112.0,0.0032518147490918636,0.10767146944999695,0.01721145026385784,0.1311924159526825,0.09535831958055496,26841282.0,0.007862999103963375,9.999999747378752e-06
23,0.09804805368185043,0.0075898016802966595,0.0795937180519104,0.05772179737687111,12874247.0,0.0032391708809882402,0.10764076560735703,0.017186546698212624,0.1310974657535553,0.09527282416820526,26862918.0,0.007880371995270252,9.999999747378752e-06
24,0.09801117330789566,0.007558723445981741,0.07936213910579681,0.05753432586789131,12737374.0,0.0032273023389279842,0.10760670900344849,0.01715831831097603,0.13098976016044617,0.09517518430948257,26878662.0,0.007895496673882008,9.999999747378752e-06
25,0.09797529131174088,0.00752868689596653,0.07914779335260391,0.05735719949007034,12610701.0,0.0032161895651370287,0.10757875442504883,0.017136234790086746,0.13090544939041138,0.09509643167257309,26900978.0,0.007912334986031055,9.999999747378752e-06
26,0.09793925285339355,0.007498541381210089,0.07894376665353775,0.05718844011425972,12494278.0,0.0032056819181889296,0.10755351185798645,0.01711690053343773,0.13083156943321228,0.09502560645341873,26925410.0,0.007929465733468533,9.999999747378752e-06
27,0.09790357947349548,0.007468779105693102,0.07874324917793274,0.0570274293422699,12383230.0,0.003195618512108922,0.10752406716346741,0.017093410715460777,0.13074177503585815,0.09494999796152115,26943130.0,0.007944046519696712,9.999999747378752e-06
28,0.0978691503405571,0.00744032533839345,0.07854575663805008,0.05687258392572403,12273430.0,0.0031859418377280235,0.10748961567878723,0.017064962536096573,0.1306329369544983,0.09485705196857452,26953742.0,0.007955839857459068,9.999999747378752e-06
29,0.09783624112606049,0.007413411978632212,0.07835431396961212,0.05672144889831543,12166109.0,0.0031766684260219336,0.1074545830488205,0.017035944387316704,0.13052181899547577,0.09475931525230408,26963582.0,0.007966761477291584,9.999999747378752e-06
