epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.158630864487754,1e-05,0.12828545,2156840.8,0.046145007,0.01665433,0.21395232,0.28934574127197266,0.2770841121673584,1783645.75,0.1597169041633606,0.06136685982346535,0.3990667760372162
1,0.15532727042833963,1e-05,0.12177083,2878171.0,0.042883474,0.015617551,0.2067555,0.2589283585548401,0.26287442445755005,2207207.75,0.15027490258216858,0.05758531764149666,0.387622594833374
2,0.15352102451854283,1e-05,0.11989936,3125189.0,0.0411185,0.015001987,0.20267087,0.2454904019832611,0.24732568860054016,2835598.0,0.14031285047531128,0.0537230521440506,0.3744601011276245
3,0.1505146457089318,1e-05,0.11634742,4193837.0,0.038151905,0.014196979,0.19493914,0.26287513971328735,0.24332726001739502,3669131.0,0.13822826743125916,0.05320284888148308,0.37142133712768555
4,0.14487141370773315,1e-05,0.107703984,5501823.0,0.03254748,0.01222155,0.17965303,0.24161341786384583,0.23057207465171814,5050185.0,0.12999016046524048,0.050400424748659134,0.3605402708053589
5,0.14120065338081783,1e-05,0.10291914,7145797.5,0.028914114,0.01127265,0.16978973,0.21426542103290558,0.20863379538059235,7022403.0,0.11467315256595612,0.044813986867666245,0.3381151258945465
6,0.13756032619211409,1e-05,0.09888555,8682140.0,0.025308391,0.01018032,0.15840481,0.18567807972431183,0.1938844621181488,9956870.0,0.1042981818318367,0.04157403111457825,0.3193182945251465
7,0.13235368331273398,1e-05,0.090219006,11103335.0,0.020134848,0.008669835,0.14134972,0.24647441506385803,0.18319305777549744,12966641.0,0.09231968224048615,0.03806073218584061,0.2954283058643341
8,0.1290699475341373,1e-05,0.0869891,13733617.0,0.01688439,0.007898975,0.1287008,0.2101108729839325,0.17500410974025726,15612856.0,0.08125182241201401,0.034826237708330154,0.28352290391921997
9,0.12765711297591528,1e-05,0.085412756,15993492.0,0.015506645,0.007545734,0.123926006,0.17748185992240906,0.17258785665035248,16509389.0,0.07380303740501404,0.03261001780629158,0.2712201178073883
10,0.12707290798425674,1e-05,0.08607504,16522501.0,0.014961394,0.007451743,0.121592455,0.17378666996955872,0.1695719212293625,15686165.0,0.07114429771900177,0.031626757234334946,0.2661377489566803
11,0.12575716194179323,1e-05,0.08149655,16166322.0,0.013685801,0.006703299,0.11626964,0.17691633105278015,0.16316846013069153,14266292.0,0.06970237195491791,0.03084707260131836,0.2638530135154724
12,0.12444218827618493,1e-05,0.07721642,14637051.0,0.01241011,0.0061153574,0.11073421,0.1937323659658432,0.1623895764350891,13084924.0,0.07028451561927795,0.031143803149461746,0.2642274796962738
13,0.12312543971670999,1e-05,0.073324256,14208234.0,0.01113053,0.0053771203,0.10473567,0.18337321281433105,0.1562477946281433,12664882.0,0.06597229093313217,0.029174882918596268,0.25663310289382935
14,0.12217464298009872,1e-05,0.069790274,14535327.0,0.010214584,0.0049174298,0.1005446,0.16370558738708496,0.14986039698123932,12354955.0,0.06089342013001442,0.027291301637887955,0.24606770277023315
15,0.12244870844814512,1e-05,0.07153317,14566546.0,0.010522302,0.005124032,0.10180049,0.18435007333755493,0.14477479457855225,12787455.0,0.05715678259730339,0.025866951793432236,0.23688772320747375
16,0.12173166043228573,1e-05,0.06993773,14718036.0,0.009839103,0.0048082597,0.098379835,0.15122577548027039,0.14067673683166504,12690225.0,0.05467924848198891,0.024878082796931267,0.2314801663160324
17,0.12109225740035374,1e-05,0.06766364,14549636.0,0.009231979,0.0045451606,0.09577504,0.16336742043495178,0.14006394147872925,12113526.0,0.05361177399754524,0.024446146562695503,0.23149830102920532
18,0.1213133657972018,1e-05,0.06920647,14801164.0,0.009485324,0.0046482105,0.09672306,0.1458853930234909,0.13504426181316376,12100724.0,0.051167022436857224,0.023481054231524467,0.22292914986610413
19,0.11991167068481445,1e-05,0.0641301,14428855.0,0.008115052,0.004026792,0.08884008,0.15432479977607727,0.13452520966529846,11639110.0,0.04898765683174133,0.02268366515636444,0.22085049748420715
