epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,1.1879464387893677,0.001,0.2019568383693695,0.069776751101017,1.0701185464859009,0.32454603910446167,0.12693637609481812
1,0.8506192564964294,0.001,0.15262562036514282,0.03977300599217415,0.782887876033783,0.3064211905002594,0.11140487343072891
2,0.609965980052948,0.001,0.14605093002319336,0.03249311447143555,0.5783042311668396,0.2895070016384125,0.09773717075586319
3,0.44666776061058044,0.001,0.1396387666463852,0.02998695708811283,0.43787822127342224,0.2742213010787964,0.08687280863523483
4,0.3346080780029297,0.001,0.13481031358242035,0.026782924309372902,0.3434770107269287,0.2630334794521332,0.08016563951969147
5,0.2570798099040985,0.001,0.12810032069683075,0.023138243705034256,0.27879059314727783,0.2523409128189087,0.07510484009981155
6,0.20357616245746613,0.001,0.11937960982322693,0.020005401223897934,0.23539334535598755,0.24422872066497803,0.07257882505655289
7,0.1651705652475357,0.001,0.10949151962995529,0.0163875762373209,0.20558281242847443,0.23873652517795563,0.07147317379713058
8,0.13786672055721283,0.001,0.10036752372980118,0.013882379978895187,0.1836702674627304,0.2333545982837677,0.07035822421312332
9,0.12034398317337036,0.001,0.09812427312135696,0.014378420077264309,0.166996031999588,0.22866849601268768,0.06887833774089813
10,0.10378196090459824,0.001,0.08873147517442703,0.011458845809102058,0.15493060648441315,0.22748802602291107,0.06897637993097305
11,0.0927300900220871,0.001,0.08622630685567856,0.011536463163793087,0.14646829664707184,0.2293817400932312,0.07048174738883972
12,0.08263465017080307,0.001,0.08165695518255234,0.010529588907957077,0.13802316784858704,0.22829656302928925,0.07029074430465698
13,0.0768837183713913,0.001,0.08766493946313858,0.012334531173110008,0.1281989961862564,0.22225545346736908,0.06725715845823288
14,0.0681389644742012,0.001,0.07891419529914856,0.010207361541688442,0.12374559789896011,0.22624991834163666,0.06918466836214066
15,0.062281284481287,0.001,0.08085890859365463,0.010369759984314442,0.11571431159973145,0.22174547612667084,0.06670934706926346
16,0.0563930869102478,0.001,0.0770529955625534,0.00971971731632948,0.1098930835723877,0.22040961682796478,0.06581716239452362
17,0.05136563628911972,0.001,0.07605833560228348,0.009391662664711475,0.10486605018377304,0.21893778443336487,0.06520670652389526
18,0.046828482300043106,0.001,0.07464776933193207,0.009036156348884106,0.10065952688455582,0.21822822093963623,0.06492410600185394
19,0.04347342997789383,0.001,0.07481038570404053,0.009351336397230625,0.09713254123926163,0.21745328605175018,0.0648135393857956
20,0.04034575819969177,0.001,0.07490427047014236,0.00941726379096508,0.09328913688659668,0.21574190258979797,0.06395450234413147
21,0.03750572353601456,0.001,0.07489835470914841,0.009316006675362587,0.08553951233625412,0.20541882514953613,0.05871802195906639
22,0.03506375104188919,0.001,0.07633842527866364,0.009439866989850998,0.08088777959346771,0.200792133808136,0.05647123232483864
23,0.03376036882400513,0.001,0.07540346682071686,0.010285679250955582,0.07755906879901886,0.1969115436077118,0.05511169508099556
24,0.030478814616799355,0.001,0.07332684844732285,0.008910796605050564,0.07307039201259613,0.191239133477211,0.05248486250638962
25,0.02873936854302883,0.001,0.07208956032991409,0.008961178362369537,0.06881345063447952,0.1865360140800476,0.04993383586406708
26,0.028130093589425087,0.001,0.07454901933670044,0.009982158429920673,0.0700540617108345,0.19118371605873108,0.05280738323926926
