epoch,loss,mse,rmse,mae,mape,msle,val_loss,val_mse,val_rmse,val_mae,val_mape,val_msle,lr
1,0.2626485526561737,0.11813122779130936,0.2679052948951721,0.24962526559829712,81572056.0,0.023244749754667282,0.20763157308101654,0.06312790513038635,0.251252681016922,0.19631536304950714,83542456.0,0.016032932326197624,2.9999999242136255e-05
2,0.20754043757915497,0.063042551279068,0.24232804775238037,0.19216188788414001,89618032.0,0.01664896495640278,0.18269433081150055,0.03820856660604477,0.19547010958194733,0.16353735327720642,64883484.0,0.014309571124613285,2.9999999242136255e-05
3,0.18757882714271545,0.04309762269258499,0.19031444191932678,0.1618867814540863,76528304.0,0.012948940508067608,0.1704379916191101,0.02596685104072094,0.16114233434200287,0.1341596394777298,47107360.0,0.010569293051958084,2.9999999242136255e-05
4,0.18349196016788483,0.039025016129016876,0.17023663222789764,0.15346243977546692,57281148.0,0.011746084317564964,0.17005059123039246,0.02559312805533409,0.15997852385044098,0.13038593530654907,44629852.0,0.010988661088049412,2.9999999242136255e-05
5,0.17615535855293274,0.03170197084546089,0.16037151217460632,0.1331423968076706,44188280.0,0.009871425107121468,0.17554178833961487,0.031097546219825745,0.17634496092796326,0.14289046823978424,53337960.0,0.013615492731332779,2.9999999242136255e-05
6,0.16928201913833618,0.024841753765940666,0.15161189436912537,0.11399158835411072,37852452.0,0.008038152940571308,0.1844525933265686,0.04002131521701813,0.20005327463150024,0.1590045541524887,57088288.0,0.017740098759531975,2.9999999242136255e-05
7,0.1672160029411316,0.02278859354555607,0.1434338092803955,0.10916782915592194,35475796.0,0.00799652747809887,0.1811905801296234,0.03677211329340935,0.1917605698108673,0.1495598554611206,54822288.0,0.017529873177409172,2.9999999242136255e-05
8,0.16631777584552765,0.021903179585933685,0.1368320733308792,0.10711771249771118,32711538.0,0.008489674888551235,0.17815810441970825,0.03375241532921791,0.18371830880641937,0.14098364114761353,50259652.0,0.017099633812904358,2.9999999242136255e-05
9,0.1660829335451126,0.02168109454214573,0.13792306184768677,0.10717055946588516,32083518.0,0.008961640298366547,0.1792682409286499,0.03487532213330269,0.18674935400485992,0.14026515185832977,47584584.0,0.01774090901017189,2.9999999242136255e-05
10,0.16433335840702057,0.019944261759519577,0.13656505942344666,0.10405232012271881,32208602.0,0.008614501915872097,0.18155725300312042,0.0371769443154335,0.1928132325410843,0.14309538900852203,47883072.0,0.01861853525042534,2.9999999242136255e-05
11,0.16295872628688812,0.01858220063149929,0.1314047873020172,0.10059819370508194,31266776.0,0.00809319969266653,0.1813051402568817,0.036937423050403595,0.19219110906124115,0.1433911770582199,49311660.0,0.018554236739873886,2.9999999242136255e-05
12,0.16275565326213837,0.018391743302345276,0.12730693817138672,0.09970788657665253,30273858.0,0.007839038036763668,0.1801070272922516,0.0357520692050457,0.18908217549324036,0.14260715246200562,51250524.0,0.018178991973400116,2.9999999242136255e-05
13,0.16279065608978271,0.01843964122235775,0.12628532946109772,0.09970569610595703,30002350.0,0.007718151435256004,0.18005166947841644,0.03570986166596413,0.18897053599357605,0.14227133989334106,51915680.0,0.01825535111129284,2.9999999242136255e-05
14,0.16219231486320496,0.01785455085337162,0.12524548172950745,0.09809514880180359,29664118.0,0.007482033222913742,0.18026688694953918,0.035938553512096405,0.18957465887069702,0.14161813259124756,51639060.0,0.01845804788172245,2.9999999242136255e-05
15,0.16147856414318085,0.017154335975646973,0.12289023399353027,0.0963766872882843,29422478.0,0.007253157440572977,0.17961528897285461,0.0353006049990654,0.18788455426692963,0.13997919857501984,51522584.0,0.018356289714574814,2.9999999242136255e-05
16,0.16108670830726624,0.016776192933321,0.1204904317855835,0.09542223811149597,29119854.0,0.007111033424735069,0.17894040048122406,0.03463950380682945,0.18611690402030945,0.13913854956626892,52116020.0,0.018227888271212578,2.9999999242136255e-05
17,0.16082055866718292,0.016523875296115875,0.11909061670303345,0.09467579424381256,28756444.0,0.006975256837904453,0.17899619042873383,0.03470926359295845,0.1863042265176773,0.13959279656410217,53157780.0,0.018327893689274788,2.9999999242136255e-05
18,0.16042855381965637,0.01614590734243393,0.1178506463766098,0.09356275200843811,28453310.0,0.006793296430259943,0.17922161519527435,0.03494885191321373,0.18694612383842468,0.14019624888896942,54052440.0,0.018473904579877853,2.9999999242136255e-05
19,0.16003920137882233,0.015770748257637024,0.11628518253564835,0.09249485284090042,28197750.0,0.006629800423979759,0.17902567982673645,0.03476725146174431,0.18645977973937988,0.14002317190170288,54489432.0,0.018475297838449478,2.9999999242136255e-05
20,0.15974538028240204,0.015491335652768612,0.11486081033945084,0.09177322685718536,27957648.0,0.006523040123283863,0.17872121930122375,0.034477315843105316,0.18568068742752075,0.1394728571176529,54579608.0,0.018442971631884575,2.9999999242136255e-05
21,0.1594601571559906,0.015220686793327332,0.11378234624862671,0.09104529768228531,27699980.0,0.006440006662160158,0.17862842977046967,0.034399230033159256,0.18547029793262482,0.13913367688655853,54602760.0,0.01847943663597107,2.9999999242136255e-05
22,0.1591341495513916,0.01490942481905222,0.11262520402669907,0.09016326069831848,27431468.0,0.006348187103867531,0.17856812477111816,0.03435377776622772,0.18534772098064423,0.13887204229831696,54709160.0,0.01851641573011875,2.9999999242136255e-05
23,0.15883858501911163,0.0146287577226758,0.11132147163152695,0.0893712043762207,27185922.0,0.006258400622755289,0.17838403582572937,0.03418472409248352,0.18489111959934235,0.13848330080509186,54840696.0,0.01849846914410591,2.9999999242136255e-05
24,0.15859371423721313,0.014398968778550625,0.11018127202987671,0.08871947228908539,26958830.0,0.006180302705615759,0.17817023396492004,0.033986106514930725,0.18435321748256683,0.13800029456615448,54875796.0,0.018458642065525055,2.9999999242136255e-05
25,0.15834170579910278,0.014158051460981369,0.10827866941690445,0.08795800060033798,26612082.0,0.0060876584611833096,0.17815998196601868,0.03397737443447113,0.18432952463626862,0.1379472315311432,54846296.0,0.01845710165798664,2.9999998787388904e-06
26,0.1583063304424286,0.014124203473329544,0.10827555507421494,0.08784697949886322,26581680.0,0.006078499369323254,0.17818118631839752,0.03400014340877533,0.18439127504825592,0.13791626691818237,54765972.0,0.0184637438505888,2.9999998787388904e-06
27,0.1582525223493576,0.01407196931540966,0.10826373100280762,0.08767622709274292,26544084.0,0.0060646203346550465,0.17820784449577332,0.03402842953801155,0.18446795642375946,0.13788321614265442,54662960.0,0.018470900133252144,2.9999998787388904e-06
28,0.15819434821605682,0.014015399850904942,0.10823248326778412,0.08749142289161682,26505038.0,0.006049429066479206,0.17822054028511047,0.034042730927467346,0.18450672924518585,0.1378341019153595,54557048.0,0.01847267709672451,2.9999998787388904e-06
29,0.15814056992530823,0.013963236473500729,0.10817613452672958,0.08732323348522186,26467256.0,0.006034955848008394,0.1782090961933136,0.034032903611660004,0.18448008596897125,0.13776351511478424,54460744.0,0.018466070294380188,2.9999998787388904e-06
30,0.15809503197669983,0.013919330202043056,0.10809455066919327,0.08718685060739517,26431424.0,0.006022048182785511,0.17817312479019165,0.03399857506155968,0.18438702821731567,0.13767406344413757,54380544.0,0.01845124363899231,2.9999998787388904e-06
31,0.15805813670158386,0.013884073123335838,0.10799379646778107,0.0870806947350502,26397812.0,0.0060108015313744545,0.17811894416809082,0.03394605964422226,0.1842445582151413,0.13757310807704926,54318520.0,0.01843053661286831,2.9999998787388904e-06
32,0.1580282747745514,0.013855882920324802,0.10788170248270035,0.08699887990951538,26366336.0,0.006000908091664314,0.17805606126785278,0.03388487175107002,0.18407844007015228,0.13747018575668335,54274052.0,0.018407296389341354,2.9999998787388904e-06
33,0.158003032207489,0.0138323362916708,0.1077667698264122,0.08693196624517441,26336604.0,0.00599190266802907,0.1779930293560028,0.03382352739572525,0.1839117407798767,0.13737253844738007,54244508.0,0.01838446781039238,2.9999998787388904e-06
34,0.15797995030879974,0.0138109615072608,0.10765405744314194,0.08687128871679306,26308608.0,0.005983299110084772,0.1779358983039856,0.03376811742782593,0.18376103043556213,0.1372852325439453,54226684.0,0.018364114686846733,2.9999998787388904e-06
35,0.1579570323228836,0.01378978043794632,0.1075458899140358,0.0868094190955162,26281316.0,0.005974705796688795,0.1778874546289444,0.03372138738632202,0.18363383412361145,0.13720962405204773,54217268.0,0.018347149714827538,2.9999998787388904e-06
36,0.15793319046497345,0.013767629861831665,0.10744185745716095,0.08674222230911255,26254050.0,0.005965898744761944,0.17784756422042847,0.033683229237794876,0.18352991342544556,0.13714425265789032,54213244.0,0.018333464860916138,2.9999998787388904e-06
37,0.15790791809558868,0.013744127936661243,0.10734043270349503,0.08666869252920151,26226462.0,0.005956834647804499,0.17781424522399902,0.0336516909301281,0.18344397842884064,0.13708582520484924,54211896.0,0.01832234114408493,2.9999998787388904e-06
38,0.1578814536333084,0.01371943112462759,0.10724002122879028,0.0865897461771965,26198400.0,0.005947583355009556,0.17778493463993073,0.03362414240837097,0.18336887657642365,0.13703076541423798,54211436.0,0.01831282675266266,2.9999998787388904e-06
39,0.15785424411296844,0.013693991117179394,0.10713894665241241,0.0865074172616005,26170018.0,0.005938268732279539,0.17775693535804749,0.033597927540540695,0.18329738080501556,0.13697656989097595,54210428.0,0.01830393634736538,2.9999998787388904e-06
40,0.1578267514705658,0.013668294996023178,0.10703641176223755,0.08642342686653137,26141104.0,0.005929015576839447,0.17772836983203888,0.03357115387916565,0.18322432041168213,0.13692057132720947,54208096.0,0.018294988200068474,2.9999998787388904e-06
41,0.1577993780374527,0.013642706908285618,0.10693217813968658,0.08633928000926971,26111708.0,0.005919906310737133,0.17769816517829895,0.03354275971651077,0.18314681947231293,0.13686057925224304,54203972.0,0.018285568803548813,2.9999998787388904e-06
42,0.1577722579240799,0.013617408461868763,0.1068263053894043,0.08625588566064835,26082026.0,0.0059109702706336975,0.17766591906547546,0.03351235389709473,0.1830637902021408,0.13679638504981995,54197928.0,0.01827549934387207,2.9999998787388904e-06
43,0.15774542093276978,0.013592412695288658,0.1067192554473877,0.08617419749498367,26052922.0,0.005902187433093786,0.1776319146156311,0.03348017856478691,0.1829759031534195,0.136728435754776,54190048.0,0.018264833837747574,2.9999998787388904e-06
44,0.15771880745887756,0.013567645102739334,0.10661168396472931,0.08609309047460556,26023552.0,0.005893524736166,0.17759650945663452,0.03344663605093956,0.18288421630859375,0.13665734231472015,54180412.0,0.018253671005368233,2.9999998787388904e-06
45,0.15769150853157043,0.01354170311242342,0.10639740526676178,0.08600365370512009,25982478.0,0.0058830417692661285,0.17759308218955994,0.033443376421928406,0.18287530541419983,0.13665005564689636,54178996.0,0.018252577632665634,2.9999998218954715e-07
46,0.15768876671791077,0.01353912428021431,0.10638801753520966,0.08599501848220825,25979400.0,0.00588217843323946,0.17759007215499878,0.03344055637717247,0.18286758661270142,0.136643186211586,54176880.0,0.018251603469252586,2.9999998218954715e-07
47,0.15768572688102722,0.013536283746361732,0.10637874901294708,0.0859854444861412,25976184.0,0.00588125130161643,0.1775873303413391,0.03343799710273743,0.1828605979681015,0.13663658499717712,54174392.0,0.01825070008635521,2.9999998218954715e-07
48,0.15768255293369293,0.013533294200897217,0.10636954009532928,0.08597534149885178,25972884.0,0.00588028971105814,0.17758463323116302,0.03343551233410835,0.1828538030385971,0.13662990927696228,54171596.0,0.018249815329909325,2.9999998218954715e-07
49,0.15767928957939148,0.013530224561691284,0.10636015981435776,0.08596499264240265,25969546.0,0.005879308562725782,0.17758195102214813,0.033433008939027786,0.18284694850444794,0.13662311434745789,54168680.0,0.018248911947011948,2.9999998218954715e-07
50,0.15767599642276764,0.01352711208164692,0.10635082423686981,0.0859544575214386,25966144.0,0.005878313910216093,0.17757928371429443,0.033430539071559906,0.18284019827842712,0.13661642372608185,54165720.0,0.018248029053211212,2.9999998218954715e-07
51,0.1576726734638214,0.013523980043828487,0.10634124279022217,0.08594388514757156,25962766.0,0.005877317860722542,0.17757651209831238,0.03342796117067337,0.18283315002918243,0.13660946488380432,54162692.0,0.018247101455926895,2.9999998218954715e-07
52,0.1576693207025528,0.013520837761461735,0.10633158683776855,0.08593326061964035,25959334.0,0.005876313894987106,0.17757366597652435,0.03342529386281967,0.18282586336135864,0.13660243153572083,54159668.0,0.018246140331029892,2.9999998218954715e-07
53,0.15766601264476776,0.013517697341740131,0.10632181167602539,0.08592267334461212,25955884.0,0.0058753094635903835,0.17757070064544678,0.03342253714799881,0.18281832337379456,0.13659527897834778,54156652.0,0.01824515126645565,2.9999998218954715e-07
54,0.15766267478466034,0.01351457741111517,0.1063118577003479,0.08591213077306747,25952426.0,0.005874307826161385,0.17756769061088562,0.03341973200440407,0.18281064927577972,0.13658809661865234,54153756.0,0.01824415661394596,2.9999998218954715e-07
