epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.1585186630487442,3e-05,0.12934336,2205120.0,0.04604124,0.0167575,0.21390684,0.2705818712711334,0.27528053522109985,2056480.125,0.158147394657135,0.060756929218769073,0.3976775109767914
1,0.15354239642620088,3e-05,0.12076912,2963112.2,0.04113607,0.015136707,0.202669,0.2582710385322571,0.2572281062602997,3139471.0,0.14590637385845184,0.05590854957699776,0.3819769322872162
2,0.14910072088241577,3e-05,0.1132981,4267017.5,0.036762364,0.013559547,0.19125608,0.24366554617881775,0.23480457067489624,5402989.0,0.13136598467826843,0.05050744116306305,0.3624444603919983
3,0.1404108315706253,3e-05,0.1014268,6987086.5,0.028136034,0.010779845,0.16752522,0.23628905415534973,0.2242335081100464,9138710.0,0.12405054271221161,0.04837761074304581,0.35220810770988464
4,0.13370758891105652,3e-05,0.09245424,10579784.0,0.021492248,0.00900629,0.146348,0.21945253014564514,0.2033335417509079,16640651.0,0.10727153718471527,0.043494828045368195,0.3275233507156372
5,0.13011903166770936,3e-05,0.09152621,17070940.0,0.017961867,0.008762566,0.13368852,0.1958567351102829,0.1861386001110077,24728492.0,0.08373738825321198,0.0363672599196434,0.28937414288520813
6,0.12945479899644852,3e-05,0.09283994,20143650.0,0.017361784,0.009059559,0.13113084,0.18942171335220337,0.18119336664676666,24512338.0,0.0773685872554779,0.034333087503910065,0.27815210819244385
7,0.1265713393688202,3e-05,0.08490332,19123444.0,0.014544582,0.0074972063,0.12001506,0.1938670575618744,0.17947308719158173,17758676.0,0.08187994360923767,0.035241443663835526,0.28614673018455505
8,0.12475124895572662,3e-05,0.07806648,14646694.0,0.012790096,0.006212687,0.11277747,0.19534021615982056,0.17363965511322021,14600846.0,0.08341746032238007,0.035104237496852875,0.2888208031654358
9,0.12294769585132599,3e-05,0.07277838,14143728.0,0.011049292,0.0052248286,0.10489508,0.19017192721366882,0.16435818374156952,14198149.0,0.07830892503261566,0.03311781585216522,0.27983731031417847
10,0.12148083001375198,3e-05,0.06851436,14090266.0,0.00964006,0.004696562,0.09797536,0.18167062103748322,0.1538490653038025,15180512.0,0.06986236572265625,0.030263183638453484,0.2643148899078369
11,0.12042575031518936,3e-05,0.06662878,14864542.0,0.008638144,0.0042948374,0.09262067,0.17392653226852417,0.1437520682811737,15509768.0,0.06216965988278389,0.027621157467365265,0.24933844804763794
12,0.12003675252199172,3e-05,0.0659367,14796394.0,0.008300139,0.0042118393,0.09069512,0.17453312873840332,0.14599254727363586,14611116.0,0.06282754242420197,0.02816009894013405,0.2506542205810547
