DATE_TIME,TIME_SIN,TIME_COS,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,DC_POWER
2020-05-15 00:00:00,0.0,1.0,0.0,0.3221904741058441,0.09950558508106461,0.0
2020-05-15 00:15:00,0.06540312923014306,0.9978589232386035,0.0,0.315476619760918,0.09748387997694319,0.0
2020-05-15 00:30:00,0.13052619222005157,0.9914448613738104,0.0,0.3054566753436825,0.09391123430727982,0.0
2020-05-15 00:45:00,0.19509032201612825,0.9807852804032304,0.0,0.2994231279471251,0.08902879692605054,0.0
2020-05-15 01:00:00,0.25881904510252074,0.9659258262890683,0.0,0.2843022631213985,0.08490627269570644,0.0
2020-05-15 01:15:00,0.3214394653031616,0.9469301294951057,0.0,0.27855073054510715,0.0807537457912248,0.0
2020-05-15 01:30:00,0.3826834323650898,0.9238795325112867,0.0,0.2854567353949222,0.08886159058060744,0.0
2020-05-15 01:45:00,0.4422886902190013,0.8968727415326883,0.0,0.30123354717753537,0.10590596249710621,0.0
2020-05-15 02:00:00,0.49999999999999994,0.8660254037844387,0.0,0.30553597170507607,0.10306226769676424,0.0
2020-05-15 02:15:00,0.5555702330196022,0.8314696123025452,0.0,0.31060647314042833,0.10975173656855097,0.0
2020-05-15 02:30:00,0.6087614290087207,0.7933533402912352,0.0,0.31012860350135796,0.11600061615053825,0.0
2020-05-15 02:45:00,0.6593458151000688,0.7518398074789774,0.0,0.30931200088268995,0.1244390512732465,0.0
2020-05-15 03:00:00,0.7071067811865476,0.7071067811865476,0.0,0.3108799236382118,0.1317093308520083,0.0
2020-05-15 03:15:00,0.7518398074789773,0.659345815100069,0.0,0.30878660189863605,0.1310210567701201,0.0
2020-05-15 03:30:00,0.7933533402912352,0.6087614290087207,0.0,0.3055899280587482,0.124878047210906,0.0
2020-05-15 03:45:00,0.8314696123025452,0.5555702330196023,0.0,0.3016426765476956,0.11748430825537293,0.0
2020-05-15 04:00:00,0.8660254037844386,0.5000000000000001,0.0,0.2881649879913899,0.09386136646360488,0.0
2020-05-15 04:15:00,0.8968727415326884,0.44228869021900125,0.0,0.26615261338756957,0.07685274019996924,0.0
2020-05-15 04:30:00,0.9238795325112867,0.38268343236508984,0.0,0.24667577449796974,0.07830579297287638,0.0
2020-05-15 04:45:00,0.9469301294951057,0.3214394653031615,0.0,0.24335020143353825,0.08787835308529585,0.0
2020-05-15 05:00:00,0.9659258262890683,0.25881904510252074,0.0,0.25438304152252855,0.09305907076859188,0.0
2020-05-15 05:15:00,0.9807852804032304,0.19509032201612833,0.0,0.2629855971408499,0.10207881372976818,0.0
2020-05-15 05:30:00,0.9914448613738104,0.1305261922200517,0.0,0.2645905046897885,0.11205424713476447,0.0
2020-05-15 05:45:00,0.9978589232386035,0.06540312923014305,0.0007061923932643122,0.26193019883481794,0.10455110831191161,0.0
2020-05-15 06:00:00,1.0,6.123233995736766e-17,0.004818850151726478,0.24841428932460508,0.08577819964717226,0.0031516551421973127
2020-05-15 06:15:00,0.9978589232386035,-0.06540312923014292,0.01823891768138606,0.24324323123445102,0.08887283404959168,0.02054641963615286
2020-05-15 06:30:00,0.9914448613738105,-0.13052619222005138,0.04044501221971161,0.24089342350456433,0.10026023912519844,0.05108472562453035
2020-05-15 06:45:00,0.9807852804032305,-0.19509032201612797,0.07808644816466176,0.2572027704051818,0.13293932758483673,0.09576102672671394
2020-05-15 07:00:00,0.9659258262890683,-0.25881904510252085,0.1161873112381603,0.2786386665655278,0.1908064655945989,0.1383094284611773
2020-05-15 07:15:00,0.9469301294951057,-0.3214394653031616,0.12664219854161088,0.297391962062481,0.22672702838258263,0.14907519377035797
2020-05-15 07:30:00,0.9238795325112867,-0.3826834323650897,0.12180160308302125,0.30902725118557295,0.24185542056844067,0.1459142796632445
2020-05-15 07:45:00,0.8968727415326884,-0.44228869021900113,0.11852265383825089,0.32433563636422846,0.24062068797758718,0.1485121486116463
2020-05-15 08:00:00,0.8660254037844387,-0.4999999999999998,0.1650540797556305,0.3380244063769948,0.27997143295402105,0.21688393596016106
2020-05-15 08:15:00,0.8314696123025451,-0.5555702330196023,0.28298377665994817,0.37434928500582987,0.36680067405067696,0.3409978999472799
2020-05-15 08:30:00,0.7933533402912352,-0.6087614290087207,0.3318036753046122,0.40610507659228245,0.4678304741332341,0.3750933165129451
2020-05-15 08:45:00,0.7518398074789774,-0.6593458151000688,0.2557412704657256,0.4331044194710374,0.44175522698571845,0.3094472117845272
2020-05-15 09:00:00,0.7071067811865476,-0.7071067811865475,0.5100902113535597,0.48623091706336186,0.5667893284834004,0.5539577155316449
2020-05-15 09:15:00,0.6593458151000686,-0.7518398074789776,0.28230959307704373,0.5109645063168387,0.6007195844057227,0.3305905863398321
2020-05-15 09:30:00,0.6087614290087204,-0.7933533402912353,0.20402572196005409,0.47921313971048063,0.4429021930154917,0.2559805205529767
2020-05-15 09:45:00,0.5555702330196022,-0.8314696123025453,0.443011631186118,0.4747281333809319,0.48075135759122123,0.539811437124731
2020-05-15 10:00:00,0.49999999999999994,-0.8660254037844387,0.5489905932119438,0.5543084276319197,0.7258117012189443,0.6122552016912107
2020-05-15 10:15:00,0.4422886902190013,-0.8968727415326883,0.46845054769750344,0.5635127523319576,0.6221524524305883,0.5309350679574885
2020-05-15 10:30:00,0.3826834323650899,-0.9238795325112867,0.3725679984647235,0.6027298387284445,0.6562411582931463,0.43187459694454156
2020-05-15 10:45:00,0.32143946530316175,-0.9469301294951056,0.2962887135051029,0.5692886538760007,0.5465192946161734,0.37841700937311723
2020-05-15 11:00:00,0.258819045102521,-0.9659258262890682,0.5210657054791992,0.606727200261852,0.6232433726855736,0.6481885026571202
2020-05-15 11:15:00,0.19509032201612816,-0.9807852804032304,0.4795042181369233,0.6609377811105006,0.6722154340284673,0.5362360793877975
2020-05-15 11:30:00,0.13052619222005157,-0.9914448613738104,0.45599684136959534,0.6657183522591306,0.6687216268440931,0.5198712512869238
2020-05-15 11:45:00,0.06540312923014312,-0.9978589232386035,0.3830771185835448,0.7009935100721523,0.6264271898058297,0.5608799035852067
2020-05-15 12:00:00,1.2246467991473532e-16,-1.0,0.4215297411220437,0.7342725161822943,0.6548459612193026,0.5212512565379167
2020-05-15 12:15:00,-0.06540312923014287,-0.9978589232386035,0.6449186245790035,0.7478663576609954,0.6687876335308026,0.7010468694054741
2020-05-15 12:30:00,-0.13052619222005132,-0.9914448613738105,0.5314506183613894,0.7909785030517449,0.7217091963502654,0.6619588070474571
2020-05-15 12:45:00,-0.19509032201612792,-0.9807852804032305,0.6231262319760636,0.8073872800853901,0.6853838220696326,0.7005445551006988
2020-05-15 13:00:00,-0.25881904510252035,-0.9659258262890684,0.3405512810902241,0.8229639572923142,0.6638572784596274,0.4343457513563048
2020-05-15 13:15:00,-0.3214394653031611,-0.9469301294951058,0.4004773924215189,0.8144994518843218,0.6090193915638459,0.5009087533660382
2020-05-15 13:30:00,-0.3826834323650892,-0.923879532511287,0.47031502925135066,0.8163546402569628,0.601819808121504,0.5873244289576831
2020-05-15 13:45:00,-0.44228869021900147,-0.8968727415326883,0.4592025342823121,0.8267120968811954,0.6196874565102236,0.5719269943675129
