epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,1.1899858713150024,0.001,0.20423421263694763,0.07099597901105881,1.0720220804214478,0.324462354183197,0.12687113881111145
1,0.8509746789932251,0.001,0.1470600962638855,0.03722436726093292,0.7859829068183899,0.30550476908683777,0.11074231564998627
2,0.6149027943611145,0.001,0.1450948864221573,0.03291602060198784,0.58286052942276,0.28820493817329407,0.09692764282226562
3,0.45123064517974854,0.001,0.13527289032936096,0.028837013989686966,0.4431278109550476,0.27300330996513367,0.0861026793718338
4,0.33946892619132996,0.001,0.1324830949306488,0.0257378239184618,0.34974920749664307,0.2635609209537506,0.08042626827955246
5,0.2624354660511017,0.001,0.1262328177690506,0.022426338866353035,0.2848619222640991,0.2526487112045288,0.07512038201093674
6,0.2088097631931305,0.001,0.11740948259830475,0.019202319905161858,0.24085047841072083,0.24370718002319336,0.07219841331243515
7,0.17033140361309052,0.001,0.1067550778388977,0.015706785023212433,0.20991690456867218,0.23587916791439056,0.070001021027565
8,0.1431621015071869,0.001,0.09666024893522263,0.013361461460590363,0.18860717117786407,0.2319498509168625,0.06955330818891525
9,0.1248408779501915,0.001,0.09271448105573654,0.013187596574425697,0.1724637746810913,0.22865331172943115,0.06886047124862671
10,0.10896346718072891,0.001,0.08726818859577179,0.011339538730680943,0.1599602997303009,0.22747313976287842,0.06894757598638535
11,0.09629463404417038,0.001,0.0815977156162262,0.010248157195746899,0.14870697259902954,0.2247859239578247,0.06814872473478317
12,0.0883340835571289,0.001,0.08720669895410538,0.01189254131168127,0.13819701969623566,0.22051095962524414,0.06622130423784256
13,0.08005008846521378,0.001,0.08200240135192871,0.011538424529135227,0.13275843858718872,0.2241632044315338,0.0681958943605423
14,0.07251254469156265,0.001,0.08298943191766739,0.011049523018300533,0.12333052605390549,0.21855664253234863,0.06527641415596008
15,0.06547613441944122,0.001,0.07943889498710632,0.010186409577727318,0.11953778564929962,0.22274643182754517,0.0673665851354599
16,0.059687938541173935,0.001,0.07814370095729828,0.009958175010979176,0.11317835748195648,0.22062373161315918,0.06624213606119156
17,0.05386696010828018,0.001,0.07567796856164932,0.009160827845335007,0.10810567438602448,0.2196599543094635,0.0658489465713501
18,0.050241559743881226,0.001,0.07709360122680664,0.009906673803925514,0.1039666011929512,0.2193220555782318,0.06579846143722534
19,0.046929456293582916,0.001,0.07795219123363495,0.010378129780292511,0.1004658117890358,0.2190442681312561,0.06579191982746124
20,0.04312080517411232,0.001,0.07685984671115875,0.009820081293582916,0.09292903542518616,0.21019256114959717,0.061263229697942734
21,0.039699286222457886,0.001,0.07482510805130005,0.009390577673912048,0.0870203748345375,0.20451892912387848,0.05825241655111313
22,0.036980435252189636,0.001,0.07404439151287079,0.009486517868936062,0.08766517788171768,0.21063332259655,0.06156621128320694
23,0.036039192229509354,0.001,0.07894249260425568,0.010815901681780815,0.0781102254986763,0.19436727464199066,0.05388503894209862
24,0.03246214613318443,0.001,0.07243134081363678,0.009078367613255978,0.07450223714113235,0.19007745385169983,0.052261631935834885
25,0.03029768355190754,0.001,0.07255025207996368,0.00895401556044817,0.07005398720502853,0.18514905869960785,0.04973748326301575
26,0.028737230226397514,0.001,0.07246849685907364,0.009147906675934792,0.06550362706184387,0.1787365972995758,0.04680733010172844
27,0.026527849957346916,0.001,0.07031851261854172,0.008526074700057507,0.06377144902944565,0.17766374349594116,0.04660380631685257
28,0.025990599766373634,0.001,0.07336840778589249,0.009421647526323795,0.055932316929101944,0.1623063087463379,0.04001260921359062
29,0.024853605777025223,0.001,0.07219274342060089,0.009469769895076752,0.050645794719457626,0.15159085392951965,0.03582318499684334
30,0.02364453859627247,0.001,0.07250853627920151,0.009363915771245956,0.05448238551616669,0.16127578914165497,0.040833476930856705
31,0.02235184796154499,0.001,0.07187259942293167,0.009040730074048042,0.04174593463540077,0.13338656723499298,0.02888300269842148
32,0.021876009181141853,0.001,0.07153614610433578,0.009412183426320553,0.03792569041252136,0.12474563717842102,0.025850702077150345
33,0.020800311118364334,0.001,0.07130162417888641,0.009208457544445992,0.034476928412914276,0.11850818991661072,0.02326003462076187
34,0.01974434033036232,0.001,0.07093552500009537,0.00884745642542839,0.03210725262761116,0.11359161138534546,0.021539129316806793
