Feature,Mean_Overestimate,Mean_Underestimate,Difference,abs_diff
TIME_COS,0.17220870806955163,-0.7153430617448185,0.8875517698143702,0.8875517698143702
IRRADIATION,0.10664327229390864,0.5143290618809633,-0.40768578958705465,0.40768578958705465
MODULE_TEMPERATURE,0.1927721609859023,0.5970143498655994,-0.4042421888796971,0.4042421888796971
AMBIENT_TEMPERATURE,0.28191338054295156,0.5966357450545006,-0.314722364511549,0.314722364511549
TIME_SIN,0.05682387887860599,-0.23459977070965357,0.29142364958825956,0.29142364958825956
