Method,MAE,MSE,RMSE,R2,Best_Epoch,Epochs_Completed
without_tl,2866.1041600963354,13705909.923006574,3702.1493653020775,0.6570718304225046,292,302
tl_freeze,2879.5268788633475,24312780.90983426,4930.799216134668,0.3916830402662397,500,500
tl_full_finetune,2405.355655144976,16887667.836971827,4109.460772044408,0.5774627841348676,83,93
